Building IRN,Building Name,District IRN,District Name,County,Region,Address,"City, State, Zip Code",Phone #,Principal,Performance Index Score 2016-17,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus,Performance Index Score 2015-16,Performance Index Score 2014-15,Watermark
000208,Adena High School,049494,Adena Local,Ross,Region 15,3367 County Road 550,"Frankfort, OH, 45628-9503",(740) 998-2313,,75.728,63.1,D,0.5,21.0,29.1,30.1,13.8,4.4,1.0,111.250,92.7,0.0,0.0,3.1,25.0,31.3,28.1,12.5,73.674,96.361,
000222,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,Lucas,Region 1,1546 Dartford Rd,"Maumee, OH, 43537-1374",(419) 868-9885,Elizabeth A. Lewin,74.046,61.7,D,0.2,28.6,22.9,23.9,14.5,9.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.092,80.319,
000224,Adlai Stevenson School,043786,Cleveland Municipal,Cuyahoga,Region 3,18300 Woda Avenue,"Cleveland, OH, 44122-6441",(216) 838-5300,Christopher T. Wyland,49.271,41.1,F,0.2,60.4,22.5,10.8,5.4,0.8,0.0,NC,NC,0.0,33.3,11.1,11.1,33.3,11.1,0.0,43.903,55.307,
000231,Unioto Elementary,049536,Union-Scioto Local,Ross,Region 15,138 Sandusky Blvd,"Chillicothe, OH, 45601-9432",(740) 773-4103,Martha K. Mercer,96.818,80.7,B,0.0,7.4,14.1,26.0,28.9,23.6,0.0,117.857,98.2,0.0,0.0,0.0,0.0,21.4,78.6,0.0,90.091,93.089,
000232,Adrian Elementary School,044792,South Euclid-Lyndhurst City,Cuyahoga,Region 3,1071 Homestead Rd,"South Euclid, OH, 44121-3580",(216) 691-2170,Mark D. Woodby,86.493,72.1,C,0.0,17.9,17.9,20.9,24.6,18.7,0.0,NC,NC,0.0,0.0,9.1,9.1,36.4,45.5,0.0,86.637,93.704,
000234,Ella P. Stewart Academy for Girls,044909,Toledo City,Lucas,Region 1,707 Avondale Ave,"Toledo, OH, 43604-8305",(419) 671-5350,Teresa L. Quinn,69.172,57.6,D,0.0,27.6,34.1,22.4,10.3,5.5,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.136,71.382,Educator and principal data may be incomplete due to local reporting error. Contact district for more information.
000236,"Ohio Connections Academy, Inc",000236,"Ohio Connections Academy, Inc",Cuyahoga,Region 11,3740 Euclid Ave Ste 101,"Cleveland, OH, 44115-2229",(513) 486-9120,,77.619,64.7,D,1.6,22.3,21.8,27.7,17.6,9.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.331,87.464,
000241,Quaker Digital Academy,044487,New Philadelphia City,Tuscarawas,Region 12,248 Front Ave SW,"New Philadelphia, OH, 44663-2150",(330) 364-0618,Stephen C. Eckert,65.397,54.5,D,5.5,31.1,24.4,20.9,12.2,5.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,NC,
000242,North Union Elementary School,050336,North Union Local School District,Union,Region 11,420 Grove St,"Richwood, OH, 43344-9022",(740) 943-3113,Darlene S. Allison,98.871,82.4,B,0.0,7.2,11.5,25.0,27.9,28.3,0.1,118.980,99.1,0.0,0.0,0.0,2.0,8.2,87.8,2.0,89.369,82.344,
000257,Alexander Elementary School,045906,Alexander Local,Athens,Region 16,6105 School Road,"Albany, OH, 45710-9236",(740) 698-8831,Melissa K. Guffey,91.413,76.2,C,0.0,15.0,12.8,24.2,25.9,21.7,0.3,117.553,98.0,0.0,0.0,0.0,2.1,23.4,71.3,3.2,83.062,85.501,
000265,Albion Elementary School,044545,North Royalton City,Cuyahoga,Region 3,9360 Albion Rd,"North Royalton, OH, 44133-1768",(440) 582-9060,Vincent D. Ketterer,108.031,90.0,A,0.0,1.9,6.5,16.4,30.8,44.2,0.2,119.667,99.7,0.0,0.0,0.0,0.0,5.0,93.3,1.7,101.674,101.582,
000270,Main Street School,044560,Norwalk City,Huron,Region 2,80 E Main St,"Norwalk, OH, 44857-1714",,Daniel G. Bauman,87.102,72.6,C,0.8,13.6,19.4,28.6,23.8,13.8,0.0,115.882,96.6,0.0,0.0,0.0,0.0,41.2,58.8,0.0,81.373,84.263,
000291,Malvern Middle School,046177,Brown Local,Carroll,Region 12,3242 Coral Rd NW,"Malvern, OH, 44644-9467",(330) 863-1355,Scott M. Bowling,72.377,60.3,D,0.3,28.1,26.8,21.9,15.3,7.7,0.0,107.778,89.8,0.0,0.0,7.4,14.8,48.1,29.6,0.0,74.706,84.684,
000296,Summit Academy Community School-Columbus,000296,Summit Academy Community School-Columbus,Franklin,Region 11,2521 Fairwood Ave Ste 100,"Columbus, OH, 43207-2712",(614) 237-5497,Cheryl L. Elliott,56.000,46.7,F,0.0,58.3,13.3,15.0,5.0,8.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.188,58.700,
000297,Summit Academy Community School - Dayton,000297,Summit Academy Community School - Dayton,Montgomery,Region 10,4128 Cedar Ridge Rd,"Dayton, OH, 45414-3908",(937) 278-4298,Megan E. Fagan,55.891,46.6,F,0.4,51.6,22.9,14.0,7.4,3.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.684,62.679,
000298,Summit Academy Secondary - Akron,000298,Summit Academy Secondary - Akron,Summit,Region 8,464 S Hawkins Ave,"Akron, OH, 44320-1228",(330) 434-2343,Ralph E. Grant,61.400,51.2,D,0.0,37.0,35.0,17.0,9.0,2.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.706,54.762,
000300,Summit Academy Secondary - Canton,000300,Summit Academy Secondary - Canton,Stark,Region 9,2400 Cleveland Ave NW,"Canton, OH, 44709-3613",(330) 453-8547,Lisa M. Cook,45.747,38.1,F,5.7,54.0,27.6,9.2,3.4,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.289,70.128,
000301,Summit Academy Secondary - Lorain,000301,Summit Academy Secondary - Lorain,Lorain,Region 2,301 Collingwood Blvd,"Toledo, OH, 43604-2134",(419) 243-1815,,42.963,35.8,F,5.6,61.1,22.2,9.3,1.9,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.068,62.632,
000302,Summit Academy Community School-Parma,000302,Summit Academy Community School-Parma,Cuyahoga,Region 3,5868 Stumph Rd,"Parma, OH, 44130-1736",(440) 888-5407,Charlotte A. Ray,62.196,51.8,D,0.0,42.1,25.8,17.5,8.9,5.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.053,64.522,
000303,Summit Academy Secondary - Youngstown,000303,Summit Academy Secondary - Youngstown,Mahoning,Region 5,2800 Shady Run Rd,"Youngstown, OH, 44502-2770",(234) 228-8235,Kevin L. Sheely,43.974,36.6,F,2.2,69.9,14.0,9.2,3.1,1.7,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.194,51.930,
000304,Summit Academy Community School-Toledo,000304,Summit Academy Community School-Toledo,Lucas,Region 1,1853 South Ave,"Toledo, OH, 43609-2086",(419) 385-5730,Julie A. Kadri,55.414,46.2,F,0.0,58.6,14.3,12.8,6.8,7.5,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.573,55.106,
000305,Summit Academy Community School-Warren,000305,Summit Academy Community School-Warren,Trumbull,Region 5,2106 Arbor Ave SE,"Warren, OH, 44484-5225",(330) 369-4233,Allison R. Glass,57.744,48.1,F,0.0,50.3,21.0,19.0,6.2,3.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.072,53.404,
000306,Summit Academy Community School - Cincinnati,000306,Summit Academy Community School - Cincinnati,Hamilton,Region 13,1660 Sternblock Ln,"Cincinnati, OH, 45237-3805",(513) 321-0561,Donna J. Fields,53.503,44.6,F,0.0,58.4,17.8,12.7,7.6,3.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.304,55.115,
000311,Bridges Community Academy,000311,Bridges Community Academy,Seneca,Region 7,190 St Francis Ave,"Tiffin, OH, 44883-3475",(419) 455-9295,Catherine M. Smith,55.809,46.5,F,0.0,51.5,23.2,15.4,8.7,1.2,0.0,NC,NC,0.0,0.0,100.0,0.0,0.0,0.0,0.0,61.775,67.278,
000315,Alexander Jr. / Sr. High School,045906,Alexander Local,Athens,Region 16,6125 School Rd,"Albany, OH, 45710-8904",(740) 698-8831,Franklin J. Doudna,87.655,73.0,C,0.5,14.7,18.3,27.0,23.0,15.0,1.5,112.361,93.6,0.0,0.4,3.9,14.2,29.6,43.3,8.6,82.790,94.859,
000316,Constellation Schools: Westpark Community Middle,000316,Constellation Schools: Westpark Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 251-7200,Mindy D. Kidd,78.692,65.6,D,0.2,21.3,23.9,29.1,17.2,8.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.605,77.195,
000318,Menlo Park Academy,043786,Cleveland Municipal,Cuyahoga,Region 3,14440 Triskett Rd,"Cleveland, OH, 44111-2263",(440) 925-6365,,106.422,88.7,B,0.0,1.9,8.5,19.9,32.2,32.5,4.9,106.422,88.7,0.0,1.9,8.5,19.9,32.2,32.5,4.9,110.760,100.920,
000319,Constellation Schools: Madison Community Elementary,000319,Constellation Schools: Madison Community Elementary,Cuyahoga,Region 3,2015 W 95th St,"Cleveland, OH, 44102-3727",(216) 651-5212,Louis A. Marconi,57.856,48.2,F,0.0,46.8,26.3,17.7,7.0,2.2,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.874,70.390,
000320,Constellation Schools: Lorain Community Middle,000320,Constellation Schools: Lorain Community Middle,Lorain,Region 2,5730 Broadview Rd,"Parma, OH, 44134-1602",(440) 242-2023,Melisa R. Shady,69.393,57.8,D,0.0,30.4,27.5,28.4,11.2,2.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.591,85.818,
000321,Constellation Schools: Old Brooklyn Community Middle,000321,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 351-0280,Cherie Kaiser,81.495,67.9,D,0.0,19.9,23.1,27.1,14.8,13.6,1.5,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.643,90.940,
000338,Horizon Science Academy Toledo,000338,Horizon Science Academy Toledo,Lucas,Region 1,2600 W Sylvania Ave,"Toledo, OH, 43613-4300",(419) 474-3350,AYDIN KARA,53.321,44.4,F,0.1,53.6,24.6,15.6,4.6,1.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.884,69.069,
000342,Youngstown Virtual Academy,045161,Youngstown City,Mahoning,Region 5,20 W Wood St,"Youngstown, OH, 44503-1028",(330) 744-8750,Rick E. Gurski,NC,NC,NR,50.0,25.0,16.7,0.0,8.3,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,NC,
000345,Elmwood Elementary School,050682,Elmwood Local,Wood,Region 1,7650 Jerry City Rd,"Bloomdale, OH, 44817-9763",(419) 655-2583,Gerald B. Dulle,101.221,84.4,B,0.7,4.2,11.3,21.1,31.5,31.2,0.0,118.889,99.1,0.0,0.0,0.0,0.0,11.1,88.9,0.0,91.273,95.933,
000348,Palm Elementary School,044263,Lorain City,Lorain,Region 2,2319 E 34th St,"Lorain, OH, 44055-2027",(440) 277-1240,Deborah A. Pustulka,69.242,57.7,D,0.0,34.2,23.9,21.5,12.7,7.6,0.0,NC,NC,0.0,18.2,0.0,27.3,36.4,18.2,0.0,66.527,77.862,
000349,Upper Scioto Valley Middle School,047522,Upper Scioto Valley Local,Hardin,Region 6,510 South Courtright Street,"Mc Guffey, OH, 45859",(419) 757-3231,Craig M. Hurley,71.173,59.3,D,0.0,30.9,24.7,22.8,16.7,4.9,0.0,NC,NC,0.0,0.0,0.0,12.5,50.0,37.5,0.0,74.713,80.736,
000350,Granger Elementary School,048496,Highland Local,Medina,Region 8,3940 Ridge Rd,"Medina, OH, 44256-8618",(330) 239-1901,LeAnn J. Gausman,107.536,89.6,B,0.0,2.9,6.9,14.9,28.1,46.7,0.5,119.600,99.7,0.0,0.0,0.0,0.0,7.0,90.0,3.0,106.534,103.820,
000351,Ulysses S. Grant Middle School,044339,Marion City,Marion,Region 7,420 Presidential Dr,"Marion, OH, 43302-5173",,Robert K. Ballinger,66.611,55.5,D,0.9,36.5,23.9,19.2,12.8,5.9,0.8,110.231,91.9,0.0,0.6,6.9,12.1,34.7,37.6,8.1,63.471,68.647,
000352,William McKinley Elementary School,044339,Marion City,Marion,Region 7,925 Chatfield Rd,"Marion, OH, 43302-7110",(740) 223-4600,Matthew A. Holsinger,62.871,52.4,D,0.0,42.6,23.8,17.6,9.9,5.8,0.2,105.758,88.1,0.0,3.0,9.1,24.2,15.2,45.5,3.0,59.815,71.253,
000356,Genoa Elementary,048942,Genoa Area Local,Ottawa,Region 1,2820 N Genoa Clay Center Rd,"Genoa, OH, 43430-9730",(419) 855-7741,Brenda A. Murphy,99.193,82.7,B,0.0,7.8,10.8,21.6,29.4,30.4,0.0,118.868,99.1,0.0,0.0,0.0,0.0,11.3,88.7,0.0,92.178,98.216,
000362,Bridges Learning Center,043489,Akron City,Summit,Region 8,888 Jonathan Ave,"Akron, OH, 44306-4201",(330) 794-4191,Stephanie M. Davis,38.600,32.2,F,1.0,79.0,13.0,6.0,1.0,0.0,0.0,NC,NC,0.0,50.0,0.0,25.0,25.0,0.0,0.0,40.796,48.143,
000363,Akron Alternative Academy,043489,Akron City,Summit,Region 8,77 W Thornton St,"Akron, OH, 44311-1357",(330) 761-3262,Rebecca J. Green-Pallotta,43.226,36.0,F,0.0,64.5,29.0,6.5,0.0,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,51.579,
000364,Allen East High School,045757,Allen East Local,Allen,Region 6,9105 Harding Hwy,"Harrod, OH, 45850-9485",(419) 648-3333,Keith B. Baumgartner,79.716,66.4,D,0.9,18.3,25.2,29.3,17.0,8.8,0.3,111.176,92.6,0.0,0.0,0.0,29.4,29.4,41.2,0.0,77.776,88.346,
000382,Crestwood Primary School,049189,Crestwood Local,Portage,Region 8,11256 Bowen Rd,"Mantua, OH, 44255-9454",(330) 357-8202,CYNTHIA A. DUCCA,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000383,Crestwood Intermediate School,049189,Crestwood Local,Portage,Region 8,11260 Bowen Rd,"Mantua, OH, 44255-9454",(330) 357-8203,Michelle S. Gerbrick,99.381,82.8,B,0.3,6.7,10.7,24.7,29.0,28.7,0.0,116.389,97.0,0.0,0.0,0.0,5.6,25.0,69.4,0.0,98.006,94.698,
000384,Chieftain Elementary School,044248,Logan-Hocking Local,Hocking,Region 16,28296 Chieftain Dr,"Logan, OH, 43138-9557",(740) 385-1171,Debra M. Heath,99.939,83.3,B,0.0,3.3,14.3,28.0,29.8,23.7,0.9,117.872,98.2,0.0,0.0,0.0,2.1,23.4,68.1,6.4,98.052,92.959,
000385,Hocking Hills Elementary School,044248,Logan-Hocking Local,Hocking,Region 16,19197 State Route 664 S,"Logan, OH, 43138-9536",(740) 385-7071,Kevin A. Rice,94.182,78.5,C,0.0,12.1,11.5,27.9,24.2,24.2,0.0,NC,NC,0.0,0.0,0.0,0.0,31.3,68.8,0.0,99.466,103.772,
000387,Central Elementary School,044248,Logan-Hocking Local,Hocking,Region 16,445 N Market St,"Logan, OH, 43138",(740) 380-4664,Lisa M. Van Horn,102.084,85.1,B,0.0,4.7,8.2,25.8,36.3,25.1,0.0,NC,NC,0.0,0.0,0.0,0.0,0.0,100.0,0.0,96.736,99.154,
000388,Gateway Elementary School,043810,Conneaut Area City,Ashtabula,Region 5,229 Gateway Av,"Conneaut, OH, 44030",(440) 593-7280,Dawn M. Zappitelli,86.916,72.4,C,0.0,15.7,18.7,27.1,23.4,15.2,0.0,114.151,95.1,0.0,1.9,0.0,5.7,30.2,62.3,0.0,82.397,83.901,
000389,Lakeshore Primary Elementary School,043810,Conneaut Area City,Ashtabula,Region 5,755 Chestnut St,"Conneaut, OH, 44030-1448",(440) 593-7250,Wendy S. Tisch,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000396,Mansfield Elective Academy,012931,Office of School Sponsorship,Franklin,Region 7,215 N Trimble Rd,"Mansfield, OH, 44906-2630",(567) 247-4475,David W. Shirley,46.531,38.8,F,0.0,65.3,20.4,10.2,4.1,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.157,49.268,
000398,Allen Elementary School,043745,Chillicothe City,Ross,Region 15,174 Plyleys Ln,"Chillicothe, OH, 45601-2006",(740) 774-1119,Joanna L. Bradley,101.273,84.4,B,0.0,5.1,11.7,20.3,30.1,32.7,0.0,118.696,98.9,0.0,0.0,0.0,2.2,8.7,89.1,0.0,98.840,96.184,
000400,Mapleton Elementary School,045831,Mapleton Local,Ashland,Region 7,2 Mountie Dr,"Ashland, OH, 44805",(419) 945-2188,Luann F. Kunisch,92.278,76.9,C,0.0,11.4,16.2,24.3,28.6,19.4,0.0,118.077,98.4,0.0,0.0,0.0,0.0,19.2,80.8,0.0,92.813,94.341,
000406,Allen Elementary School,043711,Canton City,Stark,Region 9,1326 Sherrick Rd SE,"Canton, OH, 44707-3531",(330) 453-2782,Christen A. Sedmock,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000417,Buckeye On-Line School for Success,000417,Buckeye On-Line School for Success,Columbiana,Region 9,119 E Fifth St,"East Liverpool, OH, 43920-3030",(330) 385-1987,,64.689,53.9,D,4.2,33.5,24.5,21.6,10.5,5.6,0.0,NC,NC,0.0,0.0,0.0,16.7,33.3,50.0,0.0,64.095,69.445,
000429,Jackson Westview Elementary School,044156,Jackson City,Jackson,Region 16,16349 Beaver Pike,"Jackson, OH, 45640-9005",(740) 286-6442,Karen P. Ochsenbein,100.385,83.7,B,0.0,5.9,11.5,21.7,30.8,30.2,0.0,118.481,98.7,0.0,0.0,0.0,1.3,12.7,86.1,0.0,99.488,99.810,
000435,Eastgate Elementary School,043802,Columbus City,Franklin,Region 11,1925 Stratford Way,"Columbus, OH, 43219-2946",(614) 365-6132,India N. Wilson,51.387,42.8,F,0.6,56.6,24.3,9.2,5.2,4.0,0.0,NC,NC,0.0,0.0,25.0,0.0,25.0,50.0,0.0,46.704,56.031,
000448,Allen East Elementary School,045757,Allen East Local,Allen,Region 6,9105 Harding Hwy,"Harrod, OH, 45850-9485",(419) 648-3333,Larry D. Altenburger,102.248,85.2,B,0.2,7.3,7.1,21.7,24.1,39.7,0.0,NC,NC,0.0,0.0,0.0,0.0,14.3,85.7,0.0,99.714,94.177,
000450,Manchester High School,000442,Manchester Local,Adams,Region 14,130 Wayne Frye Dr,"Manchester, OH, 45144-9314",(937) 549-4777,James L. Wilkins II,80.174,66.8,D,0.0,18.9,24.0,33.0,18.2,5.9,0.0,109.048,90.9,0.0,0.0,4.8,19.0,42.9,33.3,0.0,79.004,91.597,
000451,Manchester Elementary School,000442,Manchester Local,Adams,Region 14,130 Wayne Frye Dr,"Manchester, OH, 45144-9314",(937) 549-4777,Nicholas K. Roberts,93.024,77.5,C,0.0,10.3,15.4,30.1,24.8,19.4,0.0,117.143,97.6,0.0,0.0,0.0,3.6,21.4,75.0,0.0,86.123,81.583,
000455,West Elementary,050393,Vinton County Local,Vinton,Region 16,57710 US Highway 50,"Mc Arthur, OH, 45651-8859",(740) 596-5236,Mary Ann Hale,101.289,84.4,B,0.0,4.2,12.1,25.5,25.5,32.6,0.0,115.152,96.0,0.0,0.0,0.0,10.6,27.3,62.1,0.0,95.087,94.029,
000463,Alliance High School,043497,Alliance City,Stark,Region 9,400 Glamorgan St,"Alliance, OH, 44601-2810",(330) 829-2245,Shawn C. Jackson,84.943,70.8,C,0.3,13.3,23.8,34.5,16.3,10.7,1.1,116.410,97.0,0.0,0.0,0.0,12.8,25.6,46.2,15.4,75.574,94.824,
000470,Independence Elementary School,044222,Lima City,Allen,Region 6,615 Tremont Ave,"Lima, OH, 45801",(419) 996-3330,Matthew C. Quatman,82.000,68.3,D,0.0,16.3,25.9,28.1,21.5,8.1,0.0,NC,NC,0.0,0.0,0.0,0.0,66.7,33.3,0.0,73.898,77.003,
